SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
ACET,2017-07-03 00:00:42.993000,15.45,15.44,465.06,30.1,29.09,1.25,2.14,29.71,0.52,1.68,0.07,7.91,223.99,2.0,31.0,0.23541333333333336
AHGP,2017-07-03 00:00:44.563121,23.7,24.7,1.42,59.86,23.25,0.75,595.46,6.75,3.51,9.28,0.55,0.88,132.61,1.0,3.0,0.15527142857142856
ARLP,2017-07-03 00:00:45.248108,18.9,19.6,1.41,74.6,42.3,0.89,957.77,4.58,4.13,9.26,0.44,2.2,327.61,1.0,3.0,0.09354285714285715
ATLO,2017-07-03 00:00:45.858543,30.6,31.15,284.92,9.31,8.49,1.03,259.28,18.32,1.67,2.88,0.22,1.42,7.39,10.0,13.0,0.031799999999999995
AFSI,2017-07-03 00:00:46.589580,15.14,15.34,2.58,171.25,84.41,0.91,716.35,7.28,2.08,4.49,0.17,18.05,3.5,10.0,7.0,0.08552
ADI,2017-07-03 00:00:47.446190,77.8,78.3,28.55,367.01,365.42,1.23,400.56,26.55,2.93,2.31,0.45,1.42,4.11,9.0,86.0,-0.5696866666666668
APOG,2017-07-03 00:00:48.090667,56.84,55.67,1.64,28.78,28.06,1.37,206.67,19.53,2.91,0.99,0.14,16.8,290.79,8.0,28.0,-0.048269230769230766
AMAT,2017-07-03 00:00:48.653113,41.23,41.81,44.39,1.07,1.07,1.29,774.97,17.0,2.43,0.97,0.1,1.23,9.77,9.0,86.0,0.046933333333333334
ARCB,2017-07-03 00:00:50.997837,20.6,20.5,532.22,25.84,24.9,1.76,248.17,31.69,0.65,1.55,0.08,1.81,257.32,11.0,90.0,0.2135428571428571
BRKR,2017-07-03 00:00:52.020569,28.84,28.86,4.61,159.94,103.87,1.16,270.13,30.68,0.94,0.55,0.04,2.92,715.68,8.0,52.0,0.11356363636363637
BMTC,2017-07-03 00:00:52.991757,42.3896,43.0,719.95,16.94,16.28,0.85,317.9,19.77,2.15,1.98,0.21,3.59,67.76,10.0,13.0,0.17759999999999998
CFFI,2017-07-03 00:00:53.631215,46.9,47.25,163.54,3.49,3.23,0.61,182.56,11.82,3.97,2.81,0.33,0.5,5.49,10.0,13.0,0
CHRW,2017-07-03 00:00:54.445293,68.68,67.76,9.68,140.89,139.01,0.78,954.73,18.97,3.62,2.62,0.45,12.01,1.44,11.0,14.0,0.14006666666666667
