"Symbol","Name","Sector","Industry"
"FCCY","1st Constitution Bancorp (NJ)","Finance","Savings Institutions"
"SRCE","1st Source Corporation","Finance","Major Banks"
"AAON","AAON, Inc.","Capital Goods","Industrial Machinery/Components"
"ABAX","ABAXIS, Inc.","Capital Goods","Industrial Machinery/Components"
"ANCX","Access National Corporation","Finance","Savings Institutions"
"ACET","Aceto Corporation","Health Care","Other Pharmaceuticals"
"ACNB","ACNB Corporation","Finance","Major Banks"
"ATVI","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software"
"ADTN","ADTRAN, Inc.","Public Utilities","Telecommunications Equipment"
"AGNC","AGNC Investment Corp.","Consumer Services","Real Estate Investment Trusts"
"ALCO","Alico, Inc.","Consumer Non-Durables","Farming/Seeds/Milling"
"ALGT","Allegiant Travel Company","Transportation","Air Freight/Delivery Services"
"AHGP","Alliance Holdings GP, L.P.","Energy","Coal Mining"
"ARLP","Alliance Resource Partners, L.P.","Energy","Coal Mining"
"AMOT","Allied Motion Technologies, Inc.","Capital Goods","Electrical Products"
"AIMC","Altra Industrial Motion Corp.","Capital Goods","Industrial Machinery/Components"
"AMRK","A-Mark Precious Metals, Inc.","Basic Industries","Other Specialty Stores"
"AAL","American Airlines Group, Inc.","Transportation","Air Freight/Delivery Services"
"AMNB","American National Bankshares, Inc.","Finance","Major Banks"
"ANAT","American National Insurance Company","Finance","Life Insurance"
"ARII","American Railcar Industries, Inc.","Capital Goods","Railroads"
"AMRB","American River Bankshares","Finance","Major Banks"
"AMSWA","American Software, Inc.","Technology","Computer Software: Prepackaged Software"
"ABCB","Ameris Bancorp","Finance","Major Banks"
"AMSF","AMERISAFE, Inc.","Finance","Property-Casualty Insurers"
"ASRV","AmeriServ Financial Inc.","Finance","Major Banks"
"ATLO","Ames National Corporation","Finance","Major Banks"
"AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AFSI","AmTrust Financial Services, Inc.","Finance","Property-Casualty Insurers"
"ADI","Analog Devices, Inc.","Technology","Semiconductors"
"APOG","Apogee Enterprises, Inc.","Capital Goods","Auto Parts:O.E.M."
"AAPL","Apple Inc.","Technology","Computer Manufacturing"
"AMAT","Applied Materials, Inc.","Technology","Semiconductors"
"ARCB","ArcBest Corporation","Transportation","Trucking Freight/Courier Services"
"ARCC","Ares Capital Corporation","n/a","n/a"
"AGII","Argo Group International Holdings, Ltd.","Finance","Specialty Insurers"
"ARKR","Ark Restaurants Corp.","Consumer Services","Restaurants"
"AROW","Arrow Financial Corporation","Finance","Major Banks"
"ARTNA","Artesian Resources Corporation","Public Utilities","Water Supply"
"ASTE","Astec Industries, Inc.","Capital Goods","Construction/Ag Equipment/Trucks"
"ALOT","AstroNova, Inc.","Technology","Computer peripheral equipment"
"AAME","Atlantic American Corporation","Finance","Life Insurance"
"ABY","Atlantica Yield plc","Public Utilities","Electric Utilities: Central"
"ATNI","ATN International, Inc.","Public Utilities","Telecommunications Equipment"
"ATRI","Atrion Corporation","Health Care","Medical/Dental Instruments"
"AUBN","Auburn National Bancorporation, Inc.","Finance","Major Banks"
"ADP","Automatic Data Processing, Inc.","Technology","EDP Services"
"RILY","B. Riley Financial, Inc.","Miscellaneous","Business Services"
"BCPC","Balchem Corporation","Basic Industries","Major Chemicals"
"BWINA","Baldwin & Lyons, Inc.","Finance","Property-Casualty Insurers"
"BWINB","Baldwin & Lyons, Inc.","Finance","Property-Casualty Insurers"
"BANF","BancFirst Corporation","Finance","Major Banks"
"BKMU","Bank Mutual Corporation","Finance","Savings Institutions"
"BOCH","Bank of Commerce Holdings (CA)","Finance","Major Banks"
"BMRC","Bank of Marin Bancorp","Finance","Major Banks"
"BKSC","Bank of South Carolina Corp.","Finance","Major Banks"
"BOTJ","Bank of the James Financial Group, Inc.","Finance","Major Banks"
"OZRK","Bank of the Ozarks","Finance","Major Banks"
"BFIN","BankFinancial Corporation","Finance","Savings Institutions"
