Food Distributors,0
Auto Parts:O.E.M.,1
Metal Fabrications,2
Paper,3
Auto Manufacturing,4
Aerospace,5
Investment Managers,6
Forest Products,7
Consumer Specialties,8
Medical Specialities,9
Banks,10
Property-Casualty Insurers,11
Radio And Television Broadcasting And Communications Equipment,12
Semiconductors,13
Television Services,14
Meat/Poultry/Fish,15
Major Chemicals,16
Major Banks,17
Steel/Iron Ore,18
Medical/Dental Instruments,19
Computer Communications Equipment,20
Investment Bankers/Brokers/Service,21
Specialty Foods,22
Retail: Computer Software & Peripheral Equipment,23
Building Products,24
Other Specialty Stores,25
Finance Companies,26
Computer peripheral equipment,27
Telecommunications Equipment,28
Industrial Machinery/Components,29
Specialty Insurers,30
n/a,31
Electric Utilities: Central,32
Biotechnology: Laboratory Analytical Instruments,33
Hospital/Nursing Management,34
Electronic Components,35
Mining & Quarrying of Nonmetallic Minerals,36
Farming/Seeds/Milling,37
Other Pharmaceuticals,38
Oil Refining/Marketing,39
Biotechnology: In Vitro & In Vivo Diagnostic Substances,40
Precious Metals,41
Finance: Consumer Services,42
Real Estate,43
Hotels/Resorts,44
Environmental Services,45
Multi-Sector Companies,46
Water Supply,47
Packaged Foods,48
Beverages,49
Power Generation,50
Computer Manufacturing,51
Construction/Ag Equipment/Trucks,52
Department/Specialty Retail Stores,53
EDP Services,54
Diversified Commercial Services,55
Railroads,56
Military/Government/Technical,57
Catalog/Specialty Distribution,58
Transportation Services,59
Biotechnology: Electromedical & Electrotherapeutic Apparatus,60
Broadcasting,61
Miscellaneous manufacturing industries,62
Major Pharmaceuticals,63
Coal Mining,64
Home Furnishings,65
Office Equipment/Supplies/Services,66
Professional Services,67
Industrial Specialties,68
Containers/Packaging,69
Clothing/Shoe/Accessory Stores,70
"Computer Software: Programming, Data Processing",71
Commercial Banks,72
Services-Misc. Amusement & Recreation,73
RETAIL: Building Materials,74
Real Estate Investment Trusts,75
Savings Institutions,76
Textiles,77
Medical/Nursing Services,78
Food Chains,79
Automotive Aftermarket,80
Electrical Products,81
Oil & Gas Production,82
Specialty Chemicals,83
Biotechnology: Biological Products,84
Advertising,85
Other Consumer Services,86
Apparel,87
Air Freight/Delivery Services,88
Restaurants,89
Biotechnology: Commercial Physical & Biological Resarch,90
Computer Software: Prepackaged Software,91
Recreational Products/Toys,92
Business Services,93
Publishing,94
Marine Transportation,95
Books,96
Trucking Freight/Courier Services,97
Life Insurance,98
Package Goods/Cosmetics,99
