Department/Specialty Retail Stores,0
Biotechnology: In Vitro & In Vivo Diagnostic Substances,1
Business Services,2
Coal Mining,3
Computer Software: Prepackaged Software,4
Paper,5
Industrial Machinery/Components,6
Property-Casualty Insurers,7
Air Freight/Delivery Services,8
Food Chains,9
Meat/Poultry/Fish,10
Electric Utilities: Central,11
Medical Specialities,12
Major Banks,13
Oil Refining/Marketing,14
Precious Metals,15
Life Insurance,16
Mining & Quarrying of Nonmetallic Minerals,17
Biotechnology: Biological Products,18
Automotive Aftermarket,19
Marine Transportation,20
Packaged Foods,21
Other Consumer Services,22
Services-Misc. Amusement & Recreation,23
Diversified Commercial Services,24
Medical/Nursing Services,25
Catalog/Specialty Distribution,26
Hotels/Resorts,27
Auto Parts:O.E.M.,28
Major Chemicals,29
n/a,30
Other Pharmaceuticals,31
Medical/Dental Instruments,32
Home Furnishings,33
Office Equipment/Supplies/Services,34
Professional Services,35
Transportation Services,36
Computer Manufacturing,37
Clothing/Shoe/Accessory Stores,38
Specialty Insurers,39
Beverages,40
Building Products,41
Advertising,42
Environmental Services,43
Containers/Packaging,44
Investment Bankers/Brokers/Service,45
Recreational Products/Toys,46
Specialty Chemicals,47
Finance Companies,48
Finance: Consumer Services,49
Retail: Computer Software & Peripheral Equipment,50
Publishing,51
Biotechnology: Laboratory Analytical Instruments,52
Construction/Ag Equipment/Trucks,53
Savings Institutions,54
Textiles,55
Commercial Banks,56
Multi-Sector Companies,57
Consumer Specialties,58
Hospital/Nursing Management,59
Specialty Foods,60
Investment Managers,61
Aerospace,62
Power Generation,63
Steel/Iron Ore,64
Banks,65
Restaurants,66
Broadcasting,67
EDP Services,68
Metal Fabrications,69
Television Services,70
Forest Products,71
Major Pharmaceuticals,72
Electrical Products,73
RETAIL: Building Materials,74
Real Estate Investment Trusts,75
Auto Manufacturing,76
Computer peripheral equipment,77
"Computer Software: Programming, Data Processing",78
Military/Government/Technical,79
Industrial Specialties,80
Package Goods/Cosmetics,81
Other Specialty Stores,82
Biotechnology: Commercial Physical & Biological Resarch,83
Food Distributors,84
Oil & Gas Production,85
Semiconductors,86
Real Estate,87
Miscellaneous manufacturing industries,88
Farming/Seeds/Milling,89
Trucking Freight/Courier Services,90
Water Supply,91
Telecommunications Equipment,92
Biotechnology: Electromedical & Electrotherapeutic Apparatus,93
Apparel,94
Computer Communications Equipment,95
Electronic Components,96
Railroads,97
Radio And Television Broadcasting And Communications Equipment,98
Books,99
